Class,Series,Variety,Form,ProductDescription,SKU,QuantityPurchased,CustomerID,CustomerName,TerritoryID,TerritoryName,SalesRepID,SalesRepNam,TerritoryManagerID,Territory Manager,InfoCost,ListPrice,SellPrice,ListMarginPercent,SellMarginPercent,SellMarginDollars
Combo,Basket,Red Yellow Mix,Unrooted,Combo Basket Red Yellow Mix Unrooted#,75237,89815,821,Pickwick Farm,100,Northeast,9717,Silva Gouge,101,Tim Morris,15,40,30,0.625,0.5,13472.25
Petunia Vegetative,Novelty,Pink Star,Unrooted,Petunia Vegetative Novelty Pink Star Unrooted#,58462,191326,980,Pasture Nursery,300,Great Lakes,4926,Wilfred Mcelvain,103,Sandra Carlton,4,35,14,0.885714286,0.714285714,19132.6
Combo,Basket,Blue Red Mix,Unrooted,Combo Basket Blue Red Mix Unrooted#,26687,199235,606,ABC Nursery,300,Great Lakes,7144,Nelda Heckel,103,Sandra Carlton,15,40,17,0.625,0.117647059,3984.7
Geranium,Geronimo,Frost,Unrooted,Geranium Geronimo Frost Unrooted#,38461,122968,350,Celtic Greenhouse,100,Northeast,5479,Tania Dugan,101,Tim Morris,5,25,23,0.8,0.782608696,22134.24
Angelonia,Angel,Purple,Unrooted,Angelonia Angel Purple Unrooted#,84737,182340,997,Bridge Nursery,100,Northeast,1581,Luz German,101,Tim Morris,5,15,14,0.666666667,0.642857143,16410.6
Coleus,Magnus,Red,Unrooted,Coleus Magnus Red Unrooted#,29389,76329,585,Catte Greenhouse,200,Southeast,2955,Dean Ferraro,102,Pete Jorgensen,5,32,8,0.84375,0.375,2289.87
Calibrachoa,Dynamo,Red,Unrooted,Calibrachoa Dynamo Red Unrooted#,90465,26486,642,Sky Greenhouse,300,Great Lakes,4926,Wilfred Mcelvain,103,Sandra Carlton,4,20,9,0.8,0.555555556,1324.3
Coleus,Zero,Bright Flame,Unrooted,Coleus Zero Bright Flame Unrooted#,12393,149437,229,Horseridge Nursery,200,Southeast,9969,Tony Mart,102,Pete Jorgensen,5,30,13,0.833333333,0.615384615,11954.96
Geranium,Giant,Frost,Unrooted,Geranium Giant Frost Unrooted#,43299,36790,610,Lake Orey Greenhouse,100,Northeast,7295,Jeffrey Broadfoot,101,Tim Morris,5,30,23,0.833333333,0.782608696,6622.2
New Guinea Impatiens,Solomon,Red,Unrooted,New Guinea Impatiens Solomon Red Unrooted#,77686,183895,290,Sampson Nursery,300,Great Lakes,9639,Johnathon Cephus,103,Sandra Carlton,6,15,8,0.6,0.25,3677.9
Petunia Vegetative,Novelty,Pink Star,Unrooted,Petunia Vegetative Novelty Pink Star Unrooted#,58462,74752,129,Hare Nursery,500,Southwest,4317,Lavonia Grunwald,105,Bill Barkely,4,35,17,0.885714286,0.764705882,9717.76
Geranium,Geronimo,Frost,Unrooted,Geranium Geronimo Frost Unrooted#,38461,192003,721,Bayheap Farm,600,Canada,9305,Dewey Vause,106,Jack Unger,5,25,15,0.8,0.666666667,19200.3
Petunia Vegetative,Super,Pink,Unrooted,Petunia Vegetative Super Pink Unrooted#,52492,134216,604,Huntersville Farm,500,Southwest,2468,Iva Paolini,105,Bill Barkely,4,25,17,0.84,0.764705882,17448.08
Petunia Vegetative,Novelty,Yellow Vein,Unrooted,Petunia Vegetative Novelty Yellow Vein Unrooted#,46191,8678,657,Bob Smith Greenhouse,100,Northeast,5479,Tania Dugan,101,Tim Morris,4,35,26,0.885714286,0.846153846,1909.16
New Guinea Impatiens,Solomon,Big Red,Unrooted,New Guinea Impatiens Solomon Big Red Unrooted#,52459,13555,321,Open View Nursery,100,Northeast,4887,Anastacia Renaud,101,Tim Morris,6,15,14,0.6,0.571428571,1084.4
Petunia Vegetative,Pretty,Yellow,Unrooted,Petunia Vegetative Pretty Yellow Unrooted#,94050,170825,739,University Village Nursery,300,Great Lakes,1456,Dodie Birdsong,103,Sandra Carlton,4,20,6,0.8,0.333333333,3416.5
Calibrachoa,Crazy,Red,Unrooted,Calibrachoa Crazy Red Unrooted#,88975,82556,290,Sampson Nursery,300,Great Lakes,6511,Columbus Transue,103,Sandra Carlton,4,25,13,0.84,0.692307692,7430.04
Petunia Vegetative,Novelty,Pink Star,Unrooted,Petunia Vegetative Novelty Pink Star Unrooted#,58462,3378,644,Greenbean Farm,300,Great Lakes,4926,Wilfred Mcelvain,103,Sandra Carlton,4,35,26,0.885714286,0.846153846,743.16
Calibrachoa,Crazy,Pink,Unrooted,Calibrachoa Crazy Pink Unrooted#,46673,52806,380,Rackatoe Greenhouse,200,Southeast,9969,Tony Mart,102,Pete Jorgensen,4,25,12,0.84,0.666666667,4224.48
Geranium,Giant,Frost,Unrooted,Geranium Giant Frost Unrooted#,43299,183261,691,State Nursery,500,Southwest,8166,Shemika Lurie,105,Bill Barkely,5,30,24,0.833333333,0.791666667,34819.59
Petunia Vegetative,Pretty,Light Pink,Unrooted,Petunia Vegetative Pretty Light Pink Unrooted#,48220,158472,780,Greeno Greenhouse,500,Southwest,9177,Arletha Grauer,105,Bill Barkely,4,20,13,0.8,0.692307692,14262.48
Coleus,Zero,Mango,Unrooted,Coleus Zero Mango Unrooted#,34079,41643,610,Lake Orey Greenhouse,100,Northeast,4887,Anastacia Renaud,101,Tim Morris,5,30,25,0.833333333,0.8,8328.6
Petunia Vegetative,Novelty,Sky,Unrooted,Petunia Vegetative Novelty Sky Unrooted#,35976,129580,739,University Village Nursery,300,Great Lakes,6511,Columbus Transue,103,Sandra Carlton,4,35,33,0.885714286,0.878787879,37578.2
New Guinea Impatiens,Solomon,Yellow,Unrooted,New Guinea Impatiens Solomon Yellow Unrooted#,61037,69884,642,Sky Greenhouse,300,Great Lakes,4926,Wilfred Mcelvain,103,Sandra Carlton,6,15,14,0.6,0.571428571,5590.72
Coleus,Magnus,Deep Red,Unrooted,Coleus Magnus Deep Red Unrooted#,16918,147595,238,Force Farm,300,Great Lakes,1203,Ying Mercier,103,Sandra Carlton,5,32,18,0.84375,0.722222222,19187.35
Petunia Vegetative,Novelty,Pink Star,Unrooted,Petunia Vegetative Novelty Pink Star Unrooted#,58462,64643,326,Makinaw Nursery,300,Great Lakes,4926,Wilfred Mcelvain,103,Sandra Carlton,4,35,35,0.885714286,0.885714286,20039.33
Petunia Vegetative,Peddler,Red,Unrooted,Petunia Vegetative Peddler Red Unrooted#,27225,89827,894,Miller Farm,300,Great Lakes,7144,Nelda Heckel,103,Sandra Carlton,4,25,18,0.84,0.777777778,12575.78
Petunia Vegetative,Peddler,Light Blue,Unrooted,Petunia Vegetative Peddler Light Blue Unrooted#,75176,49410,290,Sampson Nursery,300,Great Lakes,2272,Willie Mayorga,103,Sandra Carlton,4,25,13,0.84,0.692307692,4446.9
Calibrachoa,Crazy,Orange,Unrooted,Calibrachoa Crazy Orange Unrooted#,64003,111516,229,Horseridge Nursery,200,Southeast,7734,Ethan Couvillion,102,Pete Jorgensen,4,25,25,0.84,0.84,23418.36
Angelonia,Angel,White,Unrooted,Angelonia Angel White Unrooted#,43533,27429,842,Overview Greenhouse,200,Southeast,7734,Ethan Couvillion,102,Pete Jorgensen,5,15,7,0.666666667,0.285714286,548.58
Calibrachoa,Dynamo,Red,Unrooted,Calibrachoa Dynamo Red Unrooted#,90465,73355,606,ABC Nursery,300,Great Lakes,4926,Wilfred Mcelvain,103,Sandra Carlton,4,20,19,0.8,0.789473684,11003.25
Coleus,Zero,Mango,Unrooted,Coleus Zero Mango Unrooted#,34079,175309,529,Numero Greenhouse,400,Northwest,8404,Larita Garnett,104,Cathie Wentz,5,30,15,0.833333333,0.666666667,17530.9
Coleus,Zero,Mango,Unrooted,Coleus Zero Mango Unrooted#,34079,54125,178,Lackey Farm,100,Northeast,2586,Zada Dennis,101,Tim Morris,5,30,18,0.833333333,0.722222222,7036.25
Petunia Vegetative,Super,Red,Unrooted,Petunia Vegetative Super Red Unrooted#,56026,23632,358,Rabbit Nursery,100,Northeast,2586,Zada Dennis,101,Tim Morris,4,25,18,0.84,0.777777778,3308.48
Petunia Vegetative,Novelty,Pink Star,Unrooted,Petunia Vegetative Novelty Pink Star Unrooted#,58462,42760,868,Old Quarry Farm,600,Canada,3646,Marcie Aumann,106,Jack Unger,4,35,22,0.885714286,0.818181818,7696.8
New Guinea Impatiens,Solomon,Pink,Unrooted,New Guinea Impatiens Solomon Pink Unrooted#,66263,1341,610,Lake Orey Greenhouse,100,Northeast,8665,Chantay Shepherd,101,Tim Morris,6,15,15,0.6,0.6,120.69
New Guinea Impatiens,Solomon,Burgundy,Unrooted,New Guinea Impatiens Solomon Burgundy Unrooted#,99954,5809,585,Catte Greenhouse,200,Southeast,6144,Gerald Wake,102,Pete Jorgensen,6,15,12,0.6,0.5,348.54
Calibrachoa,Crazy,Yellow,Unrooted,Calibrachoa Crazy Yellow Unrooted#,91061,47636,585,Catte Greenhouse,200,Southeast,6144,Gerald Wake,102,Pete Jorgensen,4,25,20,0.84,0.8,7621.76
Geranium,Giant,Orange,Unrooted,Geranium Giant Orange Unrooted#,26762,89347,606,ABC Nursery,300,Great Lakes,4926,Wilfred Mcelvain,103,Sandra Carlton,5,30,26,0.833333333,0.807692308,18762.87
Coleus,Magnus,Red,Unrooted,Coleus Magnus Red Unrooted#,29389,116348,894,Miller Farm,300,Great Lakes,1203,Ying Mercier,103,Sandra Carlton,5,32,28,0.84375,0.821428571,26760.04
New Guinea Impatiens,Solomon,Burgundy,Unrooted,New Guinea Impatiens Solomon Burgundy Unrooted#,99954,196090,129,Hare Nursery,500,Southwest,4382,Rosalinda Farver,105,Bill Barkely,6,15,11,0.6,0.454545455,9804.5
New Guinea Impatiens,Solomon,Pink,Unrooted,New Guinea Impatiens Solomon Pink Unrooted#,66263,133453,232,Greenster Nursery,500,Southwest,7975,Kasey Angert,105,Bill Barkely,6,15,10,0.6,0.4,5338.12
Combo,Basket,Red Yellow Mix,Unrooted,Combo Basket Red Yellow Mix Unrooted#,75237,179760,760,Moorse Nursery,400,Northwest,7862,Gregoria Paull,104,Cathie Wentz,15,40,24,0.625,0.375,16178.4
Calibrachoa,Crazy,Red,Unrooted,Calibrachoa Crazy Red Unrooted#,88975,171135,290,Sampson Nursery,300,Great Lakes,1203,Ying Mercier,103,Sandra Carlton,4,25,23,0.84,0.826086957,32515.65
Petunia Vegetative,Novelty,Pink Star,Unrooted,Petunia Vegetative Novelty Pink Star Unrooted#,58462,31411,670,Yute Greenhouse,400,Northwest,9547,Anisa Paneto,104,Cathie Wentz,4,35,11,0.885714286,0.636363636,2198.77
Petunia Vegetative,Peddler,Light Blue,Unrooted,Petunia Vegetative Peddler Light Blue Unrooted#,75176,134408,281,Rhymbo Farm,600,Canada,6542,Caitlin Ricco,106,Jack Unger,4,25,18,0.84,0.777777778,18817.12
Geranium,Giant,Deep Red,Unrooted,Geranium Giant Deep Red Unrooted#,91126,172891,238,Force Farm,300,Great Lakes,1456,Dodie Birdsong,103,Sandra Carlton,5,30,16,0.833333333,0.6875,19018.01
Geranium,Giant,Pink,Unrooted,Geranium Giant Pink Unrooted#,60468,62575,692,Livingston Greenhouse,400,Northwest,8404,Larita Garnett,104,Cathie Wentz,5,30,21,0.833333333,0.761904762,10012
Calibrachoa,Crazy,Yellow,Unrooted,Calibrachoa Crazy Yellow Unrooted#,91061,146251,700,Jumbo Nursery,300,Great Lakes,1203,Ying Mercier,103,Sandra Carlton,4,25,14,0.84,0.714285714,14625.1
Calibrachoa,Dynamo,Light Pink,Unrooted,Calibrachoa Dynamo Light Pink Unrooted#,71344,49903,807,Green Canal Greenhouse,300,Great Lakes,1456,Dodie Birdsong,103,Sandra Carlton,4,20,11,0.8,0.636363636,3493.21
Combo,Basket,Red Yellow Mix,Unrooted,Combo Basket Red Yellow Mix Unrooted#,75237,92381,610,Lake Orey Greenhouse,100,Northeast,4214,Francie Hawthorne,101,Tim Morris,15,40,37,0.625,0.594594595,20323.82
Geranium,Geronimo,Orange,Unrooted,Geranium Geronimo Orange Unrooted#,20057,172966,321,Open View Nursery,100,Northeast,9717,Silva Gouge,101,Tim Morris,5,25,14,0.8,0.642857143,15566.94
New Guinea Impatiens,Solomon,Pink,Unrooted,New Guinea Impatiens Solomon Pink Unrooted#,66263,150786,721,Bayheap Farm,600,Canada,9625,Marielle Plaisance,106,Jack Unger,6,15,11,0.6,0.454545455,7539.3
Geranium,Giant,Frost,Unrooted,Geranium Giant Frost Unrooted#,43299,18697,760,Moorse Nursery,400,Northwest,9547,Anisa Paneto,104,Cathie Wentz,5,30,13,0.833333333,0.615384615,1495.76
Coleus,Zero,Bright Flame,Unrooted,Coleus Zero Bright Flame Unrooted#,12393,193725,585,Catte Greenhouse,200,Southeast,6144,Gerald Wake,102,Pete Jorgensen,5,30,19,0.833333333,0.736842105,27121.5
Coleus,Magnus,Deep Red,Unrooted,Coleus Magnus Deep Red Unrooted#,16918,50869,290,Sampson Nursery,300,Great Lakes,1203,Ying Mercier,103,Sandra Carlton,5,32,24,0.84375,0.791666667,9665.11
Calibrachoa,Dynamo,Yellow,Unrooted,Calibrachoa Dynamo Yellow Unrooted#,60071,3277,232,Greenster Nursery,500,Southwest,4317,Lavonia Grunwald,105,Bill Barkely,4,20,6,0.8,0.333333333,65.54
Coleus,Magnus,Red,Unrooted,Coleus Magnus Red Unrooted#,29389,4166,965,Dickey Greenhouse,400,Northwest,4492,Bret Komar,104,Cathie Wentz,5,32,12,0.84375,0.583333333,291.62
Petunia Vegetative,Novelty,Sky,Unrooted,Petunia Vegetative Novelty Sky Unrooted#,35976,40249,234,Green Farm,300,Great Lakes,2272,Willie Mayorga,103,Sandra Carlton,4,35,19,0.885714286,0.789473684,6037.35
Calibrachoa,Dynamo,Yellow,Unrooted,Calibrachoa Dynamo Yellow Unrooted#,60071,52003,380,Rackatoe Greenhouse,200,Southeast,7734,Ethan Couvillion,102,Pete Jorgensen,4,20,14,0.8,0.714285714,5200.3
Calibrachoa,Crazy,Deep Red,Unrooted,Calibrachoa Crazy Deep Red Unrooted#,50994,150465,707,Rancho Farm,200,Southeast,6144,Gerald Wake,102,Pete Jorgensen,4,25,18,0.84,0.777777778,21065.1
Petunia Vegetative,Pretty,Yellow,Unrooted,Petunia Vegetative Pretty Yellow Unrooted#,94050,67246,811,Zanzabarr Nursery,500,Southwest,4827,Norbert Parise,105,Bill Barkely,4,20,19,0.8,0.789473684,10086.9
Coleus,Zero,Bright Flame,Unrooted,Coleus Zero Bright Flame Unrooted#,12393,56068,760,Moorse Nursery,400,Northwest,4492,Bret Komar,104,Cathie Wentz,5,30,27,0.833333333,0.814814815,12334.96
Calibrachoa,Dynamo,Light Pink,Unrooted,Calibrachoa Dynamo Light Pink Unrooted#,71344,145362,129,Hare Nursery,500,Southwest,4317,Lavonia Grunwald,105,Bill Barkely,4,20,13,0.8,0.692307692,13082.58
Petunia Vegetative,Pretty,Red,Unrooted,Petunia Vegetative Pretty Red Unrooted#,62436,113136,707,Rancho Farm,200,Southeast,7872,Janette Darbonne,102,Pete Jorgensen,4,20,7,0.8,0.428571429,3394.08
Petunia Vegetative,Peddler,Pink,Unrooted,Petunia Vegetative Peddler Pink Unrooted#,12871,101205,358,Rabbit Nursery,100,Northeast,1581,Luz German,101,Tim Morris,4,25,20,0.84,0.8,16192.8
Calibrachoa,Crazy,Yellow,Unrooted,Calibrachoa Crazy Yellow Unrooted#,91061,153409,807,Green Canal Greenhouse,300,Great Lakes,1456,Dodie Birdsong,103,Sandra Carlton,4,25,14,0.84,0.714285714,15340.9
Calibrachoa,Dynamo,Red,Unrooted,Calibrachoa Dynamo Red Unrooted#,90465,152599,238,Force Farm,300,Great Lakes,7144,Nelda Heckel,103,Sandra Carlton,4,20,9,0.8,0.555555556,7629.95
Petunia Vegetative,Super,Pink,Unrooted,Petunia Vegetative Super Pink Unrooted#,52492,175150,880,Green Story Farm,200,Southeast,6144,Gerald Wake,102,Pete Jorgensen,4,25,16,0.84,0.75,21018
Combo,Basket,Blue Red Mix,Unrooted,Combo Basket Blue Red Mix Unrooted#,26687,119953,556,Diablo Farm,300,Great Lakes,1456,Dodie Birdsong,103,Sandra Carlton,15,40,23,0.625,0.347826087,9596.24
Petunia Vegetative,Novelty,Pink Star,Unrooted,Petunia Vegetative Novelty Pink Star Unrooted#,58462,38555,842,Overview Greenhouse,200,Southeast,9969,Tony Mart,102,Pete Jorgensen,4,35,22,0.885714286,0.818181818,6939.9
New Guinea Impatiens,Solomon,Burgundy,Unrooted,New Guinea Impatiens Solomon Burgundy Unrooted#,99954,20265,931,Rick Greenhouse,200,Southeast,5301,Janiece Mcshane,102,Pete Jorgensen,6,15,10,0.6,0.4,810.6
Calibrachoa,Dynamo,Yellow,Unrooted,Calibrachoa Dynamo Yellow Unrooted#,60071,155533,807,Green Canal Greenhouse,300,Great Lakes,7144,Nelda Heckel,103,Sandra Carlton,4,20,17,0.8,0.764705882,20219.29
Calibrachoa,Crazy,Red,Unrooted,Calibrachoa Crazy Red Unrooted#,88975,156419,380,Rackatoe Greenhouse,200,Southeast,9969,Tony Mart,102,Pete Jorgensen,4,25,11,0.84,0.636363636,10949.33
Coleus,Zero,Mango,Unrooted,Coleus Zero Mango Unrooted#,34079,83048,880,Green Story Farm,200,Southeast,7734,Ethan Couvillion,102,Pete Jorgensen,5,30,19,0.833333333,0.736842105,11626.72
New Guinea Impatiens,Solomon,Pink,Unrooted,New Guinea Impatiens Solomon Pink Unrooted#,66263,130143,955,Daily Dill Greenhouse,300,Great Lakes,7144,Nelda Heckel,103,Sandra Carlton,6,15,10,0.6,0.4,5205.72
Petunia Vegetative,Pretty,Yellow,Unrooted,Petunia Vegetative Pretty Yellow Unrooted#,94050,24433,201,Bellview County Nursery,400,Northwest,9565,Iola Guss,104,Cathie Wentz,4,20,13,0.8,0.692307692,2198.97
Geranium,Giant,Deep Red,Unrooted,Geranium Giant Deep Red Unrooted#,91126,144693,350,Celtic Greenhouse,100,Northeast,5989,Marquis Ables,101,Tim Morris,5,30,23,0.833333333,0.782608696,26044.74
Coleus,Zero,Bright Flame,Unrooted,Coleus Zero Bright Flame Unrooted#,12393,100991,642,Sky Greenhouse,300,Great Lakes,7144,Nelda Heckel,103,Sandra Carlton,5,30,11,0.833333333,0.545454545,6059.46
Calibrachoa,Crazy,Deep Red,Unrooted,Calibrachoa Crazy Deep Red Unrooted#,50994,171786,807,Green Canal Greenhouse,300,Great Lakes,6511,Columbus Transue,103,Sandra Carlton,4,25,8,0.84,0.5,6871.44
Geranium,Giant,Pink,Unrooted,Geranium Giant Pink Unrooted#,60468,33003,380,Rackatoe Greenhouse,200,Southeast,6144,Gerald Wake,102,Pete Jorgensen,5,30,25,0.833333333,0.8,6600.6
Combo,Basket,Red Yellow Mix,Unrooted,Combo Basket Red Yellow Mix Unrooted#,75237,174163,721,Bayheap Farm,600,Canada,9305,Dewey Vause,106,Jack Unger,15,40,25,0.625,0.4,17416.3
Coleus,Zero,Bright Flame,Unrooted,Coleus Zero Bright Flame Unrooted#,12393,142476,762,Bridgeway Greenhouse,300,Great Lakes,6511,Columbus Transue,103,Sandra Carlton,5,30,27,0.833333333,0.814814815,31344.72
Petunia Vegetative,Super,Red,Unrooted,Petunia Vegetative Super Red Unrooted#,56026,97488,780,Greeno Greenhouse,500,Southwest,3447,Teresa Newsom,105,Bill Barkely,4,25,6,0.84,0.333333333,1949.76
Calibrachoa,Dynamo,Blue,Unrooted,Calibrachoa Dynamo Blue Unrooted#,49920,88978,707,Rancho Farm,200,Southeast,9969,Tony Mart,102,Pete Jorgensen,4,20,20,0.8,0.8,14236.48
Geranium,Geronimo,Pink,Unrooted,Geranium Geronimo Pink Unrooted#,53908,85652,321,Open View Nursery,100,Northeast,4214,Francie Hawthorne,101,Tim Morris,5,25,18,0.8,0.722222222,11134.76
Calibrachoa,Dynamo,Red,Unrooted,Calibrachoa Dynamo Red Unrooted#,90465,11719,122,Bigtown Greenhouse,100,Northeast,4214,Francie Hawthorne,101,Tim Morris,4,20,16,0.8,0.75,1406.28
Geranium,Giant,Frost,Unrooted,Geranium Giant Frost Unrooted#,43299,28988,811,Zanzabarr Nursery,500,Southwest,8166,Shemika Lurie,105,Bill Barkely,5,30,21,0.833333333,0.761904762,4638.08
Angelonia,Angel,Purple,Unrooted,Angelonia Angel Purple Unrooted#,84737,39785,229,Horseridge Nursery,200,Southeast,9969,Tony Mart,102,Pete Jorgensen,5,15,15,0.666666667,0.666666667,3978.5
Angelonia,Angel,White,Unrooted,Angelonia Angel White Unrooted#,43533,15969,290,Sampson Nursery,300,Great Lakes,7144,Nelda Heckel,103,Sandra Carlton,5,15,13,0.666666667,0.615384615,1277.52
Calibrachoa,Dynamo,Pink,Unrooted,Calibrachoa Dynamo Pink Unrooted#,30130,81400,178,Lackey Farm,100,Northeast,8665,Chantay Shepherd,101,Tim Morris,4,20,18,0.8,0.777777778,11396
Petunia Vegetative,Super,Pink,Unrooted,Petunia Vegetative Super Pink Unrooted#,52492,57906,821,Pickwick Farm,100,Northeast,4214,Francie Hawthorne,101,Tim Morris,4,25,24,0.84,0.833333333,11581.2
Geranium,Giant,Orange,Unrooted,Geranium Giant Orange Unrooted#,26762,156164,644,Greenbean Farm,300,Great Lakes,6511,Columbus Transue,103,Sandra Carlton,5,30,14,0.833333333,0.642857143,14054.76
Petunia Vegetative,Pretty,Yellow,Unrooted,Petunia Vegetative Pretty Yellow Unrooted#,94050,115214,780,Greeno Greenhouse,500,Southwest,2627,Kyoko Setton,105,Bill Barkely,4,20,8,0.8,0.5,4608.56
Calibrachoa,Dynamo,Pink,Unrooted,Calibrachoa Dynamo Pink Unrooted#,30130,177130,321,Open View Nursery,100,Northeast,9717,Silva Gouge,101,Tim Morris,4,20,10,0.8,0.6,10627.8
Geranium,Giant,Deep Red,Unrooted,Geranium Giant Deep Red Unrooted#,91126,178474,980,Pasture Nursery,300,Great Lakes,7144,Nelda Heckel,103,Sandra Carlton,5,30,30,0.833333333,0.833333333,44618.5
Petunia Vegetative,Pretty,Pink,Unrooted,Petunia Vegetative Pretty Pink Unrooted#,90230,153437,238,Force Farm,300,Great Lakes,4926,Wilfred Mcelvain,103,Sandra Carlton,4,20,8,0.8,0.5,6137.48
Petunia Vegetative,Peddler,Pink,Unrooted,Petunia Vegetative Peddler Pink Unrooted#,12871,34908,821,Pickwick Farm,100,Northeast,2586,Zada Dennis,101,Tim Morris,4,25,24,0.84,0.833333333,6981.6
Geranium,Giant,Pink,Unrooted,Geranium Giant Pink Unrooted#,60468,38111,780,Greeno Greenhouse,500,Southwest,1462,Roland Zapien,105,Bill Barkely,5,30,16,0.833333333,0.6875,4192.21
Petunia Vegetative,Pretty,Deep Blue,Unrooted,Petunia Vegetative Pretty Deep Blue Unrooted#,14595,16339,326,Makinaw Nursery,300,Great Lakes,2272,Willie Mayorga,103,Sandra Carlton,4,20,12,0.8,0.666666667,1307.12
Angelonia,Angel,Red,Unrooted,Angelonia Angel Red Unrooted#,63122,26139,615,Kissinger Greenhouse,100,Northeast,2586,Zada Dennis,101,Tim Morris,5,15,15,0.666666667,0.666666667,2613.9
Petunia Vegetative,Pretty,Yellow,Unrooted,Petunia Vegetative Pretty Yellow Unrooted#,94050,4809,610,Lake Orey Greenhouse,100,Northeast,4214,Francie Hawthorne,101,Tim Morris,4,20,6,0.8,0.333333333,96.18
Combo,Basket,Red Yellow Mix,Unrooted,Combo Basket Red Yellow Mix Unrooted#,75237,37598,178,Lackey Farm,100,Northeast,2586,Zada Dennis,101,Tim Morris,15,40,22,0.625,0.318181818,2631.86
